NCBI GeneID	Symbol	Description
3126	HLA-DRB4	major histocompatibility complex, class II, DR beta 4
3127	HLA-DRB5	major histocompatibility complex, class II, DR beta 5
3170	FOXA2	forkhead box A2
3280	HES1	hes family bHLH transcription factor 1
3292	HSD17B1	hydroxysteroid 17-beta dehydrogenase 1
3359	HTR3A	5-hydroxytryptamine receptor 3A
3423	IDS	iduronate 2-sulfatase
3440	IFNA2	interferon alpha 2
3454	IFNAR1	interferon alpha and beta receptor subunit 1
3516	RBPJ	recombination signal binding protein for immunoglobulin kappa J region
3665	IRF7	interferon regulatory factor 7
3704	ITPA	inosine triphosphatase
389421	LIN28B	lin-28 homolog B
3918	LAMC2	laminin subunit gamma 2
3959	LGALS3BP	galectin 3 binding protein
4036	LRP2	LDL receptor related protein 2
4149	MAX	MYC associated factor X
4267	CD99	CD99 molecule (Xg blood group)
4647	MYO7A	myosin VIIA
4654	MYOD1	myogenic differentiation 1
4690	NCK1	NCK adaptor protein 1
4751	NEK2	NIMA related kinase 2
477	ATP1A2	ATPase Na+/K+ transporting subunit alpha 2
4928	NUP98	nucleoporin 98 and 96 precursor
5062	PAK2	p21 (RAC1) activated kinase 2
5074	PAWR	pro-apoptotic WT1 regulator
51280	GOLM1	golgi membrane protein 1
51343	FZR1	fizzy and cell division cycle 20 related 1
5251	PHEX	phosphate regulating endopeptidase X-linked
5337	PLD1	phospholipase D1
54567	DLL4	delta like canonical Notch ligand 4
55937	APOM	apolipoprotein M
563	AZGP1	alpha-2-glycoprotein 1, zinc-binding
5710	PSMD4	proteasome 26S subunit ubiquitin receptor, non-ATPase 4
5726	TAS2R38	taste 2 receptor member 38
5903	RANBP2	RAN binding protein 2
5966	REL	REL proto-oncogene, NF-kB subunit
5976	UPF1	UPF1 RNA helicase and ATPase
5997	RGS2	regulator of G protein signaling 2
6121	RPE65	retinoid isomerohydrolase RPE65
6240	RRM1	ribonucleotide reductase catalytic subunit M1
6580	SLC22A1	solute carrier family 22 member 1
6613	SUMO2	small ubiquitin like modifier 2
6708	SPTA1	spectrin alpha, erythrocytic 1
6773	STAT2	signal transducer and activator of transcription 2
6872	TAF1	TATA-box binding protein associated factor 1
7051	TGM1	transglutaminase 1
7074	TIAM1	TIAM Rac1 associated GEF 1
7094	TLN1	talin 1
712	C1QA	complement C1q A chain
7178	TPT1	tumor protein, translationally-controlled 1
7185	TRAF1	TNF receptor associated factor 1
7334	UBE2N	ubiquitin conjugating enzyme E2 N
7391	USF1	upstream transcription factor 1
7399	USH2A	usherin
7432	VIP	vasoactive intestinal peptide
7704	ZBTB16	zinc finger and BTB domain containing 16
7846	TUBA1A	tubulin alpha 1a
79444	BIRC7	baculoviral IAP repeat containing 7
8061	FOSL1	FOS like 1, AP-1 transcription factor subunit
825	CAPN3	calpain 3
835	CASP2	caspase 2
8359	H4C1	H4 clustered histone 1
83990	BRIP1	BRCA1 interacting helicase 1
8529	CYP4F2	cytochrome P450 family 4 subfamily F member 2
859	CAV3	caveolin 3
8647	ABCB11	ATP binding cassette subfamily B member 11
87	ACTN1	actinin alpha 1
8766	RAB11A	RAB11A, member RAS oncogene family
90	ACVR1	activin A receptor type 1
9290	GPR55	G protein-coupled receptor 55
930	CD19	CD19 molecule
9353	SLIT2	slit guidance ligand 2
9536	PTGES	prostaglandin E synthase
9588	PRDX6	peroxiredoxin 6
9619	ABCG1	ATP binding cassette subfamily G member 1
9641	IKBKE	inhibitor of nuclear factor kappa B kinase subunit epsilon
977	CD151	CD151 molecule (Raph blood group)
9780	PIEZO1	piezo type mechanosensitive ion channel component 1 (Er blood group)
1001	CDH3	cadherin 3
10298	PAK4	p21 (RAC1) activated kinase 4
10456	HAX1	HCLS1 associated protein X-1
1066	CES1	carboxylesterase 1
11197	WIF1	WNT inhibitory factor 1
1374	CPT1A	carnitine palmitoyltransferase 1A
1421	CRYGD	crystallin gamma D
1495	CTNNA1	catenin alpha 1
1583	CYP11A1	cytochrome P450 family 11 subfamily A member 1
1630	DCC	DCC netrin 1 receptor
1717	DHCR7	7-dehydrocholesterol reductase
1736	DKC1	dyskerin pseudouridine synthase 1
1896	EDA	ectodysplasin A
1948	EFNB2	ephrin B2
2010	EMD	emerin
201163	FLCN	folliculin
2053	EPHX2	epoxide hydrolase 2
2274	FHL2	four and a half LIM domains 2
23385	NCSTN	nicastrin
23600	AMACR	alpha-methylacyl-CoA racemase
24145	PANX1	pannexin 1
2550	GABBR1	gamma-aminobutyric acid type B receptor subunit 1
255239	ANKK1	ankyrin repeat and kinase domain containing 1
2554	GABRA1	gamma-aminobutyric acid type A receptor subunit alpha1
2571	GAD1	glutamate decarboxylase 1
259	AMBP	alpha-1-microglobulin/bikunin precursor
2720	GLB1	galactosidase beta 1
27429	HTRA2	HtrA serine peptidase 2
2744	GLS	glutaminase
2770	GNAI1	G protein subunit alpha i1
2911	GRM1	glutamate metabotropic receptor 1
3020	H3-3A	H3.3 histone A
3045	HBD	hemoglobin subunit delta
3248	HPGD	15-hydroxyprostaglandin dehydrogenase
3398	ID2	inhibitor of DNA binding 2
3492	IGH	immunoglobulin heavy locus
3562	IL3	interleukin 3
3604	TNFRSF9	TNF receptor superfamily member 9
3609	ILF3	interleukin enhancer binding factor 3
3738	KCNA3	potassium voltage-gated channel subfamily A member 3
3816	KLK1	kallikrein 1
3981	LIG4	DNA ligase 4
4068	SH2D1A	SH2 domain containing 1A
4069	LYZ	lysozyme
412	STS	steroid sulfatase
4502	MT2A	metallothionein 2A
4535	MT-ND1	NADH dehydrogenase subunit 1
4638	MYLK	myosin light chain kinase
4738	NEDD8	NEDD8 ubiquitin like modifier
4739	NEDD9	neural precursor cell expressed, developmentally down-regulated 9
4841	NONO	non-POU domain containing octamer binding
4926	NUMA1	nuclear mitotic apparatus protein 1
5029	P2RY2	purinergic receptor P2Y2
5034	P4HB	prolyl 4-hydroxylase subunit beta
50848	F11R	F11 receptor
51083	GAL	galanin and GMAP prepropeptide
52	ACP1	acid phosphatase 1
5338	PLD2	phospholipase D2
5339	PLEC	plectin
5360	PLTP	phospholipid transfer protein
54205	CYCS	cytochrome c, somatic
54901	CDKAL1	CDK5 regulatory subunit associated protein 1 like 1
5518	PPP2R1A	protein phosphatase 2 scaffold subunit Aalpha
5582	PRKCG	protein kinase C gamma
55869	HDAC8	histone deacetylase 8
55894	DEFB103B	defensin beta 103B
5592	PRKG1	protein kinase cGMP-dependent 1
5605	MAP2K2	mitogen-activated protein kinase kinase 2
5629	PROX1	prospero homeobox 1
5660	PSAP	prosaposin
5697	PYY	peptide YY
57016	AKR1B10	aldo-keto reductase family 1 member B10
5730	PTGDS	prostaglandin D2 synthase
5732	PTGER2	prostaglandin E receptor 2
57674	RNF213	ring finger protein 213
5817	PVR	PVR cell adhesion molecule
5873	RAB27A	RAB27A, member RAS oncogene family
5896	RAG1	recombination activating 1
5971	RELB	RELB proto-oncogene, NF-kB subunit
6097	RORC	RAR related orphan receptor C
6195	RPS6KA1	ribosomal protein S6 kinase A1
6241	RRM2	ribonucleotide reductase regulatory subunit M2
6277	S100A6	S100 calcium binding protein A6
6326	SCN2A	sodium voltage-gated channel alpha subunit 2
6338	SCNN1B	sodium channel epithelial 1 subunit beta
6385	SDC4	syndecan 4
6421	SFPQ	splicing factor proline and glutamine rich
6440	SFTPC	surfactant protein C
6495	SIX1	SIX homeobox 1
654	BMP6	bone morphogenetic protein 6
6608	SMO	smoothened, frizzled class receptor
6664	SOX11	SRY-box transcription factor 11
6768	ST14	ST14 transmembrane serine protease matriptase
6770	STAR	steroidogenic acute regulatory protein
6781	STC1	stanniocalcin 1
6789	STK4	serine/threonine kinase 4
6804	STX1A	syntaxin 1A
6910	TBX5	T-box transcription factor 5
6948	TCN2	transcobalamin 2
70	ACTC1	actin alpha cardiac muscle 1
7049	TGFBR3	transforming growth factor beta receptor 3
7083	TK1	thymidine kinase 1
7170	TPM3	tropomyosin 3
7222	TRPC3	transient receptor potential cation channel subfamily C member 3
7307	U2AF1	U2 small nuclear RNA auxiliary factor 1
7376	NR1H2	nuclear receptor subfamily 1 group H member 2
7942	TFEB	transcription factor EB
79648	MCPH1	microcephalin 1
815	CAMK2A	calcium/calmodulin dependent protein kinase II alpha
8243	SMC1A	structural maintenance of chromosomes 1A
8313	AXIN2	axin 2
85358	SHANK3	SH3 and multiple ankyrin repeat domains 3
8554	PIAS1	protein inhibitor of activated STAT 1
8650	NUMB	NUMB endocytic adaptor protein
885	CCK	cholecystokinin
8915	BCL10	BCL10 immune signaling adaptor
896	CCND3	cyclin D3
9378	NRXN1	neurexin 1
9734	HDAC9	histone deacetylase 9
9846	GAB2	GRB2 associated binding protein 2
990	CDC6	cell division cycle 6
9965	FGF19	fibroblast growth factor 19
10014	HDAC5	histone deacetylase 5
10075	HUWE1	HECT, UBA and WWE domain containing E3 ubiquitin protein ligase 1
101180976	IFNL4	interferon lambda 4 (gene/pseudogene)
10131	TRAP1	TNF receptor associated protein 1
10159	ATP6AP2	ATPase H+ transporting accessory protein 2
10165	SLC25A13	solute carrier family 25 member 13
10452	TOMM40	translocase of outer mitochondrial membrane 40
10468	FST	follistatin
10498	CARM1	coactivator associated arginine methyltransferase 1
10661	KLF1	KLF transcription factor 1
10666	CD226	CD226 molecule
10725	NFAT5	nuclear factor of activated T cells 5
10747	MASP2	MBL associated serine protease 2
10856	RUVBL2	RuvB like AAA ATPase 2
10911	UTS2	urotensin 2
11035	RIPK3	receptor interacting serine/threonine kinase 3
11277	TREX1	three prime repair exonuclease 1
116085	SLC22A12	solute carrier family 22 member 12
1184	CLCN5	chloride voltage-gated channel 5
1192	CLIC1	chloride intracellular channel 1
1215	CMA1	chymase 1
123	PLIN2	perilipin 2
1230	CCR1	C-C motif chemokine receptor 1
1301	COL11A1	collagen type XI alpha 1 chain
134	ADORA1	adenosine A1 receptor
136	ADORA2B	adenosine A2b receptor
148	ADRA1A	adrenoceptor alpha 1A
1511	CTSG	cathepsin G
1584	CYP11B1	cytochrome P450 family 11 subfamily B member 1
1593	CYP27A1	cytochrome P450 family 27 subfamily A member 1
1643	DDB2	damage specific DNA binding protein 2
1644	DDC	dopa decarboxylase
1667	DEFA1	defensin alpha 1
1759	DNM1	dynamin 1
1827	RCAN1	regulator of calcineurin 1
1830	DSG3	desmoglein 3
1889	ECE1	endothelin converting enzyme 1
200315	APOBEC3A	apolipoprotein B mRNA editing enzyme catalytic subunit 3A
200316	APOBEC3F	apolipoprotein B mRNA editing enzyme catalytic subunit 3F
2071	ERCC3	ERCC excision repair 3, TFIIH core complex helicase subunit
2235	FECH	ferrochelatase
226	ALDOA	aldolase, fructose-bisphosphate A
2280	FKBP1A	FKBP prolyl isomerase 1A
22974	TPX2	TPX2 microtubule nucleation factor
2304	FOXE1	forkhead box E1
23135	KDM6B	lysine demethylase 6B
23213	SULF1	sulfatase 1
23512	SUZ12	SUZ12 polycomb repressive complex 2 subunit
23532	PRAME	PRAME nuclear receptor transcriptional regulator
23643	LY96	lymphocyte antigen 96
23657	SLC7A11	solute carrier family 7 member 11
2520	GAST	gastrin
253260	RICTOR	RPTOR independent companion of MTOR complex 2
2549	GAB1	GRB2 associated binding protein 1
2555	GABRA2	gamma-aminobutyric acid type A receptor subunit alpha2
2572	GAD2	glutamate decarboxylase 2
25913	POT1	protection of telomeres 1
26047	CNTNAP2	contactin associated protein 2
26121	PRPF31	pre-mRNA processing factor 31
26524	LATS2	large tumor suppressor kinase 2
27032	ATP2C1	ATPase secretory pathway Ca2+ transporting 1
2771	GNAI2	G protein subunit alpha i2
2796	GNRH1	gonadotropin releasing hormone 1
2821	GPI	glucose-6-phosphate isomerase
282618	IFNL1	interferon lambda 1
2879	GPX4	glutathione peroxidase 4
29072	SETD2	SET domain containing 2, histone lysine methyltransferase
2931	GSK3A	glycogen synthase kinase 3 alpha
2969	GTF2I	general transcription factor IIi
3087	HHEX	hematopoietically expressed homeobox
3183	HNRNPC	heterogeneous nuclear ribonucleoprotein C
3192	HNRNPU	heterogeneous nuclear ribonucleoprotein U
3394	IRF8	interferon regulatory factor 8
34	ACADM	acyl-CoA dehydrogenase medium chain
3426	CFI	complement factor I
3561	IL2RG	interleukin 2 receptor subunit gamma
3587	IL10RA	interleukin 10 receptor subunit alpha
3636	INPPL1	inositol polyphosphate phosphatase like 1
3640	INSL3	insulin like 3
3672	ITGA1	integrin subunit alpha 1
3726	JUNB	JunB proto-oncogene, AP-1 transcription factor subunit
3741	KCNA5	potassium voltage-gated channel subfamily A member 5
3836	KPNA1	karyopherin subunit alpha 1
3848	KRT1	keratin 1
3872	KRT17	keratin 17
388	RHOB	ras homolog family member B
3916	LAMP1	lysosomal associated membrane protein 1
396	ARHGDIA	Rho GDP dissociation inhibitor alpha
3984	LIMK1	LIM domain kinase 1
4005	LMO2	LIM domain only 2
4205	MEF2A	myocyte enhancer factor 2A
4240	MFGE8	milk fat globule EGF and factor V/VIII domain containing
4481	MSR1	macrophage scavenger receptor 1
4646	MYO6	myosin VI
4680	CEACAM6	CEA cell adhesion molecule 6
4693	NDP	norrin cystine knot growth factor NDP
4758	NEU1	neuraminidase 1
4920	ROR2	receptor tyrosine kinase like orphan receptor 2
4938	OAS1	2'-5'-oligoadenylate synthetase 1
5048	PAFAH1B1	platelet activating factor acetylhydrolase 1b regulatory subunit 1
5055	SERPINB2	serpin family B member 2
5087	PBX1	PBX homeobox 1
5093	PCBP1	poly(rC) binding protein 1
51135	IRAK4	interleukin 1 receptor associated kinase 4
5160	PDHA1	pyruvate dehydrogenase E1 subunit alpha 1
5184	PEPD	peptidase D
5209	PFKFB3	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3
5289	PIK3C3	phosphatidylinositol 3-kinase catalytic subunit type 3
5313	PKLR	pyruvate kinase L/R
53335	BCL11A	BCL11 transcription factor A
5366	PMAIP1	phorbol-12-myristate-13-acetate-induced protein 1
5368	PNOC	prepronociceptin
5449	POU1F1	POU class 1 homeobox 1
55503	TRPV6	transient receptor potential cation channel subfamily V member 6
5563	PRKAA2	protein kinase AMP-activated catalytic subunit alpha 2
5564	PRKAB1	protein kinase AMP-activated non-catalytic subunit beta 1
56339	METTL3	methyltransferase 3, N6-adenosine-methyltransferase complex catalytic subunit
5653	KLK6	kallikrein related peptidase 6
57104	PNPLA2	patatin like phospholipase domain containing 2
57154	SMURF1	SMAD specific E3 ubiquitin protein ligase 1
57521	RPTOR	regulatory associated protein of MTOR complex 1
57591	MRTFA	myocardin related transcription factor A
57761	TRIB3	tribbles pseudokinase 3
58157	NGB	neuroglobin
5893	RAD52	RAD52 homolog, DNA repair protein
5928	RBBP4	RB binding protein 4, chromatin remodeling factor
5932	RBBP8	RB binding protein 8, endonuclease
5934	RBL2	RB transcriptional corepressor like 2
5961	PRPH2	peripherin 2
5999	RGS4	regulator of G protein signaling 4
6019	RLN2	relaxin 2
6091	ROBO1	roundabout guidance receptor 1
6223	RPS19	ribosomal protein S19
6247	RS1	retinoschisin 1
6286	S100P	S100 calcium binding protein P
6310	ATXN1	ataxin 1
6317	SERPINB3	serpin family B member 3
633	BGN	biglycan
6367	CCL22	C-C motif chemokine ligand 22
6383	SDC2	syndecan 2
6414	SELENOP	selenoprotein P
64581	CLEC7A	C-type lectin domain containing 7A
6470	SHMT1	serine hydroxymethyltransferase 1
6505	SLC1A1	solute carrier family 1 member 1
6507	SLC1A3	solute carrier family 1 member 3
6510	SLC1A5	solute carrier family 1 member 5
65125	WNK1	WNK lysine deficient protein kinase 1
6523	SLC5A1	solute carrier family 5 member 1
657	BMPR1A	bone morphogenetic protein receptor type 1A
6583	SLC22A4	solute carrier family 22 member 4
6623	SNCG	synuclein gamma
6792	CDKL5	cyclin dependent kinase like 5
6886	TAL1	TAL bHLH transcription factor 1, erythroid differentiation factor
6921	ELOC	elongin C
6957	TRB	T cell receptor beta locus
7114	TMSB4X	thymosin beta 4 X-linked
7293	TNFRSF4	TNF receptor superfamily member 4
7403	KDM6A	lysine demethylase 6A
7516	XRCC2	X-ray repair cross complementing 2
7533	YWHAH	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein eta
80380	PDCD1LG2	programmed cell death 1 ligand 2
8106	PABPN1	poly(A) binding protein nuclear 1
818	CAMK2G	calcium/calmodulin dependent protein kinase II gamma
8239	USP9X	ubiquitin specific peptidase 9 X-linked
824	CAPN2	calpain 2
8301	PICALM	phosphatidylinositol binding clathrin assembly protein
8607	RUVBL1	RuvB like AAA ATPase 1
871	SERPINH1	serpin family H member 1
8754	ADAM9	ADAM metallopeptidase domain 9
8828	NRP2	neuropilin 2
8840	CCN4	cellular communication network factor 4
887	CCKBR	cholecystokinin B receptor
889	KRIT1	KRIT1 ankyrin repeat containing
8912	CACNA1H	calcium voltage-gated channel subunit alpha1 H
9020	MAP3K14	mitogen-activated protein kinase kinase kinase 14
925	CD8A	CD8 subunit alpha
9261	MAPKAPK2	MAPK activated protein kinase 2
9388	LIPG	lipase G, endothelial type
9401	RECQL4	RecQ like helicase 4
9447	AIM2	absent in melanoma 2
945	CD33	CD33 molecule
9656	MDC1	mediator of DNA damage checkpoint 1
996	CDC27	cell division cycle 27
9961	MVP	major vault protein
100132285	KIR2DS2	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 2
100288687	DUX4	double homeobox 4
10197	PSME3	proteasome activator subunit 3
1022	CDK7	cyclin dependent kinase 7
10333	TLR6	toll like receptor 6
10457	GPNMB	glycoprotein nmb
10507	SEMA4D	semaphorin 4D
10733	PLK4	polo like kinase 4
1075	CTSC	cathepsin C
10765	KDM5B	lysine demethylase 5B
10857	PGRMC1	progesterone receptor membrane component 1
10935	PRDX3	peroxiredoxin 3
10963	STIP1	stress induced phosphoprotein 1
11004	KIF2C	kinesin family member 2C
1103	CHAT	choline O-acetyltransferase
11073	TOPBP1	DNA topoisomerase II binding protein 1
1108	CHD4	chromodomain helicase DNA binding protein 4
11091	WDR5	WD repeat domain 5
11140	CDC37	cell division cycle 37, HSP90 cochaperone
1121	CHM	CHM Rab escort protein
1128	CHRM1	cholinergic receptor muscarinic 1
11335	CBX3	chromobox 3
11338	U2AF2	U2 small nuclear RNA auxiliary factor 2
114609	TIRAP	TIR domain containing adaptor protein
115352	FCRL3	Fc receptor like 3
1158	CKM	creatine kinase, M-type
121504	H4C16	H4 histone 16
1326	MAP3K8	mitogen-activated protein kinase kinase kinase 8
1376	CPT2	carnitine palmitoyltransferase 2
1390	CREM	cAMP responsive element modulator
140	ADORA3	adenosine A3 receptor
1452	CSNK1A1	casein kinase 1 alpha 1
1454	CSNK1E	casein kinase 1 epsilon
1485	CTAG1B	cancer/testis antigen 1B
1551	CYP3A7	cytochrome P450 family 3 subfamily A member 7
1581	CYP7A1	cytochrome P450 family 7 subfamily A member 1
1601	DAB2	DAB adaptor protein 2
1605	DAG1	dystroglycan 1
1633	DCK	deoxycytidine kinase
164656	TMPRSS6	transmembrane serine protease 6
170302	ARX	aristaless related homeobox
1778	DYNC1H1	dynein cytoplasmic 1 heavy chain 1
1828	DSG1	desmoglein 1
187	APLNR	apelin receptor
1984	EIF5A	eukaryotic translation initiation factor 5A
2035	EPB41	erythrocyte membrane protein band 4.1
21	ABCA3	ATP binding cassette subfamily A member 3
2131	EXT1	exostosin glycosyltransferase 1
2176	FANCC	FA complementation group C
2220	FCN2	ficolin 2
2273	FHL1	four and a half LIM domains 1
22919	MAPRE1	microtubule associated protein RP/EB family member 1
22925	PLA2R1	phospholipase A2 receptor 1
23175	LPIN1	lipin 1
2318	FLNC	filamin C
23286	WWC1	WW and C2 domain containing 1
23326	USP22	ubiquitin specific peptidase 22
23400	ATP13A2	ATPase cation transporting 13A2
23495	TNFRSF13B	TNF receptor superfamily member 13B
2525	FUT3	fucosyltransferase 3 (Lewis blood group)
25836	NIPBL	NIPBL cohesin loading factor
26278	SACS	sacsin molecular chaperone
2648	KAT2A	lysine acetyltransferase 2A
2658	GDF2	growth differentiation factor 2
26580	BSCL2	BSCL2 lipid droplet biogenesis associated, seipin
2671	GFER	growth factor, augmenter of liver regeneration
27040	LAT	linker for activation of T cells
2767	GNA11	G protein subunit alpha 11
2878	GPX3	glutathione peroxidase 3
288	ANK3	ankyrin 3
2890	GRIA1	glutamate ionotropic receptor AMPA type subunit 1
2915	GRM5	glutamate metabotropic receptor 5
2959	GTF2B	general transcription factor IIB
3015	H2AZ1	H2A.Z variant histone 1
3026	HABP2	hyaluronan binding protein 2
3054	HCFC1	host cell factor C1
3068	HDGF	heparin binding growth factor
3074	HEXB	hexosaminidase subunit beta
30816	ERVW-1	endogenous retrovirus group W member 1, envelope
3113	HLA-DPA1	major histocompatibility complex, class II, DP alpha 1
3161	HMMR	hyaluronan mediated motility receptor
3191	HNRNPL	heterogeneous nuclear ribonucleoprotein L
3269	HRH1	histamine receptor H1
3425	IDUA	alpha-L-iduronidase
344	APOC2	apolipoprotein C2
3560	IL2RB	interleukin 2 receptor subunit beta
3621	ING1	inhibitor of growth family member 1
3635	INPP5D	inositol polyphosphate-5-phosphatase D
3687	ITGAX	integrin subunit alpha X
3802	KIR2DL1	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 1
3803	KIR2DL2	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 2
3804	KIR2DL3	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 3
3805	KIR2DL4	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4
3813	KIR3DS1	killer cell immunoglobulin like receptor, three Ig domains and short cytoplasmic tail 1
3855	KRT7	keratin 7
3858	KRT10	keratin 10
386653	IL31	interleukin 31
387129	NPSR1	neuropeptide S receptor 1
3902	LAG3	lymphocyte activating 3
3914	LAMB3	laminin subunit beta 3
3929	LBP	lipopolysaccharide binding protein
4082	MARCKS	myristoylated alanine rich protein kinase C substrate
4133	MAP2	microtubule associated protein 2
4159	MC3R	melanocortin 3 receptor
4214	MAP3K1	mitogen-activated protein kinase kinase kinase 1
4360	MRC1	mannose receptor C-type 1
4440	MSI1	musashi RNA binding protein 1
445	ASS1	argininosuccinate synthase 1
4521	NUDT1	nudix hydrolase 1
4605	MYBL2	MYB proto-oncogene like 2
4688	NCF2	neutrophil cytosolic factor 2
478	ATP1A3	ATPase Na+/K+ transporting subunit alpha 3
4837	NNMT	nicotinamide N-methyltransferase
4838	NODAL	nodal growth differentiation factor
4856	CCN3	cellular communication network factor 3
4880	NPPC	natriuretic peptide C
4891	SLC11A2	solute carrier family 11 member 2
4919	ROR1	receptor tyrosine kinase like orphan receptor 1
4921	DDR2	discoidin domain receptor tyrosine kinase 2
4922	NTS	neurotensin
4948	OCA2	OCA2 melanosomal transmembrane protein
4952	OCRL	OCRL inositol polyphosphate-5-phosphatase
4953	ODC1	ornithine decarboxylase 1
4985	OPRD1	opioid receptor delta 1
4986	OPRK1	opioid receptor kappa 1
5004	ORM1	orosomucoid 1
50506	DUOX2	dual oxidase 2
5083	PAX9	paired box 9
5094	PCBP2	poly(rC) binding protein 2
51147	ING4	inhibitor of growth family member 4
5122	PCSK1	proprotein convertase subtilisin/kexin type 1
51330	TNFRSF12A	TNF receptor superfamily member 12A
51341	ZBTB7A	zinc finger and BTB domain containing 7A
51426	POLK	DNA polymerase kappa
5173	PDYN	prodynorphin
5266	PI3	peptidase inhibitor 3
5284	PIGR	polymeric immunoglobulin receptor
5318	PKP2	plakophilin 2
5346	PLIN1	perilipin 1
54	ACP5	acid phosphatase 5, tartrate resistant
5420	PODXL	podocalyxin like
5424	POLD1	DNA polymerase delta 1, catalytic subunit
5469	MED1	mediator complex subunit 1
5530	PPP3CA	protein phosphatase 3 catalytic subunit alpha
55353	LAPTM4B	lysosomal protein transmembrane 4 beta
55737	VPS35	VPS35 retromer complex component
5583	PRKCH	protein kinase C eta
5696	PSMB8	proteasome 20S subunit beta 8
5705	PSMC5	proteasome 26S subunit, ATPase 5
5716	PSMD10	proteasome 26S subunit, non-ATPase 10
59340	HRH4	histamine receptor H4
6006	RHCE	Rh blood group CcEe antigens
602	BCL3	BCL3 transcription coactivator
6118	RPA2	replication protein A2
6188	RPS3	ribosomal protein S3
6194	RPS6	ribosomal protein S6
6281	S100A10	S100 calcium binding protein A10
6386	SDCBP	syndecan binding protein
6423	SFRP2	secreted frizzled related protein 2
6428	SRSF3	serine and arginine rich splicing factor 3
643	CXCR5	C-X-C motif chemokine receptor 5
6477	SIAH1	siah E3 ubiquitin protein ligase 1
6480	ST6GAL1	ST6 beta-galactoside alpha-2,6-sialyltransferase 1
6497	SKI	SKI proto-oncogene
6515	SLC2A3	solute carrier family 2 member 3
65217	PCDH15	protocadherin related 15
6546	SLC8A1	solute carrier family 8 member A1
6582	SLC22A2	solute carrier family 22 member 2
6709	SPTAN1	spectrin alpha, non-erythrocytic 1
6750	SST	somatostatin
6839	SUV39H1	SUV39H1 histone lysine methyltransferase
699	BUB1	BUB1 mitotic checkpoint serine/threonine kinase
6997	CRIPTO	cripto, EGF-CFC family member
7058	THBS2	thrombospondin 2
7134	TNNC1	troponin C1, slow skeletal and cardiac type
7155	TOP2B	DNA topoisomerase II beta
7177	TPSAB1	tryptase alpha/beta 1
7182	NR2C2	nuclear receptor subfamily 2 group C member 2
7252	TSHB	thyroid stimulating hormone subunit beta
7317	UBA1	ubiquitin like modifier activating enzyme 1
7468	NSD2	nuclear receptor binding SET domain protein 2
7706	TRIM25	tripartite motif containing 25
7850	IL1R2	interleukin 1 receptor type 2
79602	ADIPOR2	adiponectin receptor 2
8013	NR4A3	nuclear receptor subfamily 4 group A member 3
8065	CUL5	cullin 5
808	CALM3	calmodulin 3
839	CASP6	caspase 6
8405	SPOP	speckle type BTB/POZ protein
8450	CUL4B	cullin 4B
84634	KISS1R	KISS1 receptor
8654	PDE5A	phosphodiesterase 5A
868	CBLB	Cbl proto-oncogene B
8740	TNFSF14	TNF superfamily member 14
8764	TNFRSF14	TNF receptor superfamily member 14
8767	RIPK2	receptor interacting serine/threonine kinase 2
8910	SGCE	sarcoglycan epsilon
9113	LATS1	large tumor suppressor kinase 1
9146	HGS	hepatocyte growth factor-regulated tyrosine kinase substrate
9156	EXO1	exonuclease 1
9166	EBAG9	estrogen receptor binding site associated antigen 9
9201	DCLK1	doublecortin like kinase 1
921	CD5	CD5 molecule
9217	VAPB	VAMP associated protein B and C
939	CD27	CD27 molecule
9507	ADAMTS4	ADAM metallopeptidase with thrombospondin type 1 motif 4
9722	NOS1AP	nitric oxide synthase 1 adaptor protein
9782	MATR3	matrin 3
994	CDC25B	cell division cycle 25B
10211	FLOT1	flotillin 1
10318	TNIP1	TNFAIP3 interacting protein 1
10332	CLEC4M	C-type lectin domain family 4 member M
10403	NDC80	NDC80 kinetochore complex component
10516	FBLN5	fibulin 5
10533	ATG7	autophagy related 7
1056	CEL	carboxyl ester lipase
10578	GNLY	granulysin
10594	PRPF8	pre-mRNA processing factor 8
10658	CELF1	CUGBP Elav-like family member 1
10663	CXCR6	C-X-C motif chemokine receptor 6
10800	CYSLTR1	cysteinyl leukotriene receptor 1
10848	PPP1R13L	protein phosphatase 1 regulatory subunit 13 like
11096	ADAMTS5	ADAM metallopeptidase with thrombospondin type 1 motif 5
11201	POLI	DNA polymerase iota
1141	CHRNB2	cholinergic receptor nicotinic beta 2 subunit
1143	CHRNB4	cholinergic receptor nicotinic beta 4 subunit
1173	AP2M1	adaptor related protein complex 2 subunit mu 1
1200	TPP1	tripeptidyl peptidase 1
1201	CLN3	CLN3 lysosomal/endosomal transmembrane protein, battenin
1233	CCR4	C-C motif chemokine receptor 4
1270	CNTF	ciliary neurotrophic factor
1291	COL6A1	collagen type VI alpha 1 chain
1366	CLDN7	claudin 7
1373	CPS1	carbamoyl-phosphate synthase 1
140885	SIRPA	signal regulatory protein alpha
